protein_id	cluster_90	cluster_95	cluster_975	cluster_98	cluster_99
abricate-argannot@@@argannot~~~(Bla)blaOXY6-2~~~AJ871875:1-873~~~ (Bla)blaOXY6-2	L.1679	L.1679.0	L.1679.0.2	L.1679.0.2.0	L.1679.0.2.0.2
abricate-argannot@@@argannot~~~(Bla)blaOXY6-3~~~AJ871876:1-876~~~ (Bla)blaOXY6-3	L.1679	L.1679.0	L.1679.0.0	L.1679.0.0.1	L.1679.0.0.1.0
abricate-argannot@@@argannot~~~(Bla)blaOXY6-4~~~AJ871877:1-873~~~ (Bla)blaOXY6-4	L.1679	L.1679.0	L.1679.0.0	L.1679.0.0.1	L.1679.0.0.1.0
abricate-argannot@@@argannot~~~(Bla)blaPAM-1~~~AB858498:1-864~~~ (Bla)blaPAM-1	L.1901	L.1901.0	L.1901.0.0	L.1901.0.0.0	L.1901.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPDC-119~~~KX196793:1-1194~~~ (Bla)blaPDC-119	L.991	L.991.0	L.991.0.1	L.991.0.1.0	L.991.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaPDC-195~~~MF098287:1-1194~~~ (Bla)blaPDC-195	L.991	L.991.0	L.991.0.1	L.991.0.1.0	L.991.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaPDC-208~~~MF098300:1-1194~~~ (Bla)blaPDC-208	L.991	L.991.0	L.991.0.0	L.991.0.0.0	L.991.0.0.0.1
abricate-argannot@@@argannot~~~(Bla)blaPDC-212~~~MF281076:1-1194~~~ (Bla)blaPDC-212	L.991	L.991.0	L.991.0.0	L.991.0.0.0	L.991.0.0.0.2
abricate-argannot@@@argannot~~~(Bla)blaPDC-216~~~MF281081:MF281081~~~ (Bla)blaPDC-216	L.991	L.991.0	L.991.0.1	L.991.0.1.0	L.991.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaPDC-252~~~MH243326:1-1194~~~ (Bla)blaPDC-252	L.991	L.991.0	L.991.0.1	L.991.0.1.0	L.991.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaPDC-257~~~MH243331:1-1194~~~ (Bla)blaPDC-257	L.991	L.991.0	L.991.0.1	L.991.0.1.0	L.991.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaPDC-309~~~MH780086:1-1194~~~ (Bla)blaPDC-309	L.991	L.991.0	L.991.0.1	L.991.0.1.0	L.991.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaPDC-313~~~MH780090:1-1194~~~ (Bla)blaPDC-313	L.991	L.991.0	L.991.0.1	L.991.0.1.0	L.991.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaPDC-317~~~MK208447:1-1194~~~ (Bla)blaPDC-317	L.991	L.991.0	L.991.0.1	L.991.0.1.0	L.991.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaPDC-322~~~MK840567:1-1194~~~ (Bla)blaPDC-322	L.991	L.991.0	L.991.0.1	L.991.0.1.0	L.991.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaPDC-328~~~MK840574:1-1194~~~ (Bla)blaPDC-328	L.991	L.991.0	L.991.0.0	L.991.0.0.0	L.991.0.0.0.1
abricate-argannot@@@argannot~~~(Bla)blaPDC-49~~~KJ949064:1-1194~~~ (Bla)blaPDC-49	L.991	L.991.0	L.991.0.0	L.991.0.0.0	L.991.0.0.0.1
abricate-argannot@@@argannot~~~(Bla)blaPDC-50~~~KJ949065:1-1194~~~ (Bla)blaPDC-50	L.991	L.991.0	L.991.0.0	L.991.0.0.0	L.991.0.0.0.1
abricate-argannot@@@argannot~~~(Bla)blaPEDO-1~~~KP109677:4319-5179~~~ (Bla)blaPEDO-1	L.1935	L.1935.0	L.1935.0.0	L.1935.0.0.0	L.1935.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPEDO-2~~~KP109678:5818-6675~~~ (Bla)blaPEDO-2	L.1947	L.1947.0	L.1947.0.0	L.1947.0.0.0	L.1947.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPEDO-3~~~KP109679:2261-2974~~~ (Bla)blaPEDO-3	L.2585	L.2585.0	L.2585.0.0	L.2585.0.0.0	L.2585.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPER-1~~~EF535600:1-927~~~ (Bla)blaPER-1	L.1583	L.1583.0	L.1583.0.0	L.1583.0.0.0	L.1583.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPER-2~~~X93314:278-1204~~~ (Bla)blaPER-2	L.1584	L.1584.0	L.1584.0.0	L.1584.0.0.0	L.1584.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPER-3~~~AY740681:7103-8029~~~ (Bla)blaPER-3	L.1583	L.1583.0	L.1583.0.0	L.1583.0.0.0	L.1583.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPER-4~~~EU748544:1-927~~~ (Bla)blaPER-4	L.1583	L.1583.0	L.1583.0.0	L.1583.0.0.0	L.1583.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPER-5~~~FJ627180:1-927~~~ (Bla)blaPER-5	L.1583	L.1583.0	L.1583.0.0	L.1583.0.0.0	L.1583.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPER-6~~~HM453327:787-1713~~~ (Bla)blaPER-6	L.1584	L.1584.1	L.1584.1.0	L.1584.1.0.0	L.1584.1.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPER-7~~~JQ639792:6580-7506~~~ (Bla)blaPER-7	L.1583	L.1583.0	L.1583.0.0	L.1583.0.0.0	L.1583.0.0.0.1
abricate-argannot@@@argannot~~~(Bla)blaPER-8~~~AB985401:5557-6483~~~ (Bla)blaPER-8	L.1583	L.1583.0	L.1583.0.0	L.1583.0.0.0	L.1583.0.0.0.1
abricate-argannot@@@argannot~~~(Bla)blaPLA1a~~~AY302757:187-1062~~~ (Bla)blaPLA1a	L.1846	L.1846.0	L.1846.0.0	L.1846.0.0.0	L.1846.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPLA2a~~~AY307385:162-1037~~~ (Bla)blaPLA2a	L.1846	L.1846.0	L.1846.0.0	L.1846.0.0.0	L.1846.0.0.0.1
abricate-argannot@@@argannot~~~(Bla)blaPLN-1~~~NG_055471:101-970~~~ (Bla)blaPLN-1	L.1886	L.1886.0	L.1886.0.0	L.1886.0.0.0	L.1886.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPME-1~~~HQ541434:3071-4000~~~ (Bla)blaPME-1	L.1572	L.1572.0	L.1572.0.0	L.1572.0.0.0	L.1572.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPOM-1~~~EU315252:972-1832~~~ (Bla)blaPOM-1	L.1936	L.1936.0	L.1936.0.0	L.1936.0.0.0	L.1936.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPSE-4~~~AF313471:1422-2288~~~ (Bla)blaPSE-4	L.1316	L.1316.0	L.1316.0.0	L.1316.0.0.0	L.1316.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaPSV-1~~~NG_052626:101-988~~~ (Bla)blaPSV-1	L.1771	L.1771.0	L.1771.0.0	L.1771.0.0.0	L.1771.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaR1~~~NG_047540:1_1782~~~ (Bla)blaR1	L.420	L.420.0	L.420.0.0	L.420.0.0.0	L.420.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaR1_Bacilli~~~NG_047539:1-1758~~~ (Bla)blaR1_Bacilli	L.430	L.430.0	L.430.0.0	L.430.0.0.0	L.430.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaRAHN-1~~~AF338038:4685-5572~~~ (Bla)blaRAHN-1	L.1764	L.1764.0	L.1764.0.0	L.1764.0.0.0	L.1764.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaRAHN-2~~~HM114350:377-1264~~~ (Bla)blaRAHN-2	L.1764	L.1764.1	L.1764.1.0	L.1764.1.0.0	L.1764.1.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaROB-1~~~AF022114:303-1220~~~ (Bla)blaROB-1	L.1567	L.1567.0	L.1567.0.0	L.1567.0.0.0	L.1567.0.0.0.1
abricate-argannot@@@argannot~~~(Bla)blaSCO-1~~~AM939419:c2458-1592~~~ (Bla)blaSCO-1	L.1900	L.1900.0	L.1900.0.0	L.1900.0.0.0	L.1900.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSED-1~~~AF321608:1-888~~~ (Bla)blaSED-1	L.1765	L.1765.0	L.1765.0.0	L.1765.0.0.0	L.1765.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSFB-1~~~AY590119:1-735~~~ (Bla)blaSFB-1	L.2516	L.2516.0	L.2516.0.0	L.2516.0.0.0	L.2516.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSFC-1~~~AY354402:82-1011~~~ (Bla)blaSFC-1	L.1573	L.1573.0	L.1573.0.0	L.1573.0.0.0	L.1573.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSFH-1~~~NZ_AUZV01000091:3453-4220~~~ (Bla)blaSFH-1	L.2414	L.2414.0	L.2414.0.0	L.2414.0.0.0	L.2414.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSFO-1~~~FJ848785:4719-5594~~~ (Bla)blaSFO-1	L.1850	L.1850.0	L.1850.0.0	L.1850.0.0.0	L.1850.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSGM-1~~~NG_049983:101-1066~~~ (Bla)blaSGM-1	L.1482	L.1482.0	L.1482.0.0	L.1482.0.0.0	L.1482.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSGM-2~~~NG_049984:101-1036~~~ (Bla)blaSGM-2	L.1548	L.1548.0	L.1548.0.0	L.1548.0.0.0	L.1548.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSGM-3~~~NG_052647:101-1030~~~ (Bla)blaSGM-3	L.1548	L.1548.0	L.1548.0.1	L.1548.0.1.0	L.1548.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaSGM-4~~~NG_049986:101-1030~~~ (Bla)blaSGM-4	L.1561	L.1561.0	L.1561.0.0	L.1561.0.0.0	L.1561.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSGM-5~~~NG_049987:101-1081~~~ (Bla)blaSGM-5	L.1459	L.1459.0	L.1459.0.0	L.1459.0.0.0	L.1459.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSGM-6~~~NG_049988:101-1081~~~ (Bla)blaSGM-6	L.1454	L.1454.0	L.1454.0.0	L.1454.0.0.0	L.1454.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSGM-7~~~NG_050614:101-1081~~~ (Bla)blaSGM-7	L.1453	L.1453.0	L.1453.0.0	L.1453.0.0.0	L.1453.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-1~~~AF148850:6-866~~~ (Bla)blaSHV-1	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-100~~~AM922306:1-900~~~ (Bla)blaSHV-100	L.1490	L.1490.2	L.1490.2.0	L.1490.2.0.0	L.1490.2.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-101~~~EU155018:1-861~~~ (Bla)blaSHV-101	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-102~~~EU024485:1-861~~~ (Bla)blaSHV-102	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.4
abricate-argannot@@@argannot~~~(Bla)blaSHV-103~~~EU032604:1-861~~~ (Bla)blaSHV-103	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-104~~~EU274581:1-861~~~ (Bla)blaSHV-104	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.1
abricate-argannot@@@argannot~~~(Bla)blaSHV-105~~~FJ194944:47-907~~~ (Bla)blaSHV-105	L.1490	L.1490.1	L.1490.1.0	L.1490.1.0.0	L.1490.1.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-106~~~AM941847:1-861~~~ (Bla)blaSHV-106	L.1490	L.1490.2	L.1490.2.1	L.1490.2.1.0	L.1490.2.1.0.1
abricate-argannot@@@argannot~~~(Bla)blaSHV-107~~~AM941848:1-861~~~ (Bla)blaSHV-107	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-108~~~AM941849:1-861~~~ (Bla)blaSHV-108	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.6
abricate-argannot@@@argannot~~~(Bla)blaSHV-109~~~EU418913:17-877~~~ (Bla)blaSHV-109	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.1
abricate-argannot@@@argannot~~~(Bla)blaSHV-11~~~HM751098:1-861~~~ (Bla)blaSHV-11	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-110~~~HQ877614:1-861~~~ (Bla)blaSHV-110	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.7
abricate-argannot@@@argannot~~~(Bla)blaSHV-12~~~FJ685654:24-860~~~ (Bla)blaSHV-12	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.2
abricate-argannot@@@argannot~~~(Bla)blaSHV-120~~~JF812965:1-861~~~ (Bla)blaSHV-120	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.10
abricate-argannot@@@argannot~~~(Bla)blaSHV-121~~~AB538449:1-861~~~ (Bla)blaSHV-121	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-122~~~GQ290211:1-515~~~ (Bla)blaSHV-122	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-128~~~GU932590:1-861~~~ (Bla)blaSHV-128	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.1	L.1490.0.2.1.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-13~~~AF164577:1-861~~~ (Bla)blaSHV-13	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-132~~~GU981741:794-1654~~~ (Bla)blaSHV-132	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-133~~~AB551737:15-875~~~ (Bla)blaSHV-133	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-134~~~HM559945:1-861~~~ (Bla)blaSHV-134	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.2
abricate-argannot@@@argannot~~~(Bla)blaSHV-135~~~HQ637576:1-861~~~ (Bla)blaSHV-135	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.8
abricate-argannot@@@argannot~~~(Bla)blaSHV-137~~~HQ661363:72-932~~~ (Bla)blaSHV-137	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.11
abricate-argannot@@@argannot~~~(Bla)blaSHV-14~~~AF226622:55-915~~~ (Bla)blaSHV-14	L.1490	L.1490.0	L.1490.0.1	L.1490.0.1.0	L.1490.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-140~~~JN051143:1-861~~~ (Bla)blaSHV-140	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.1
abricate-argannot@@@argannot~~~(Bla)blaSHV-141~~~JQ388884:1-861~~~ (Bla)blaSHV-141	L.1490	L.1490.0	L.1490.0.1	L.1490.0.1.0	L.1490.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-142~~~JQ029959:29-899~~~ (Bla)blaSHV-142	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-143~~~JQ341060:882-1742~~~ (Bla)blaSHV-143	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-144~~~JQ926986:1-861~~~ (Bla)blaSHV-144	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-145~~~JX013655:1-861~~~ (Bla)blaSHV-145	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-147~~~JX121114:1-858~~~ (Bla)blaSHV-147	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.12
abricate-argannot@@@argannot~~~(Bla)blaSHV-148~~~JX121115:1-858~~~ (Bla)blaSHV-148	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-149~~~JX121116:1-858~~~ (Bla)blaSHV-149	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.13
abricate-argannot@@@argannot~~~(Bla)blaSHV-15~~~AJ011428:1-861~~~ (Bla)blaSHV-15	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.2
abricate-argannot@@@argannot~~~(Bla)blaSHV-150~~~JX121117:1-858~~~ (Bla)blaSHV-150	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-151~~~JX121118:1-858~~~ (Bla)blaSHV-151	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.14
abricate-argannot@@@argannot~~~(Bla)blaSHV-152~~~JX121119:1-858~~~ (Bla)blaSHV-152	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.4
abricate-argannot@@@argannot~~~(Bla)blaSHV-153~~~JX121120:1-858~~~ (Bla)blaSHV-153	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.4
abricate-argannot@@@argannot~~~(Bla)blaSHV-154~~~JX121121:1-858~~~ (Bla)blaSHV-154	L.1490	L.1490.1	L.1490.1.0	L.1490.1.0.0	L.1490.1.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-155~~~JX121122:1-858~~~ (Bla)blaSHV-155	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-156~~~JX121123:1-861~~~ (Bla)blaSHV-156	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.9
abricate-argannot@@@argannot~~~(Bla)blaSHV-157~~~JX121124:1-861~~~ (Bla)blaSHV-157	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-158~~~JX121125:1-858~~~ (Bla)blaSHV-158	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-159~~~JX121126:1-858~~~ (Bla)blaSHV-159	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-16~~~AF072684:118-993~~~ (Bla)blaSHV-16	L.1490	L.1490.0	L.1490.0.3	L.1490.0.3.0	L.1490.0.3.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-160~~~JX121127:1-861~~~ (Bla)blaSHV-160	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.2
abricate-argannot@@@argannot~~~(Bla)blaSHV-161~~~JX121128:1-861~~~ (Bla)blaSHV-161	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.14
abricate-argannot@@@argannot~~~(Bla)blaSHV-162~~~JX121129:1-858~~~ (Bla)blaSHV-162	L.1490	L.1490.0	L.1490.0.1	L.1490.0.1.0	L.1490.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-163~~~JX121130:1-858~~~ (Bla)blaSHV-163	L.1490	L.1490.0	L.1490.0.1	L.1490.0.1.0	L.1490.0.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-165~~~JX121131:1-858~~~ (Bla)blaSHV-165	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.4
abricate-argannot@@@argannot~~~(Bla)blaSHV-167~~~AB733453:4-849~~~ (Bla)blaSHV-167	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.17
abricate-argannot@@@argannot~~~(Bla)blaSHV-168~~~JX870080:1-861~~~ (Bla)blaSHV-168	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.9
abricate-argannot@@@argannot~~~(Bla)blaSHV-172~~~KF513177:1-861~~~ (Bla)blaSHV-172	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-173~~~KF513178:1-861~~~ (Bla)blaSHV-173	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-178~~~KF705209:1-861~~~ (Bla)blaSHV-178	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-179~~~KF705208:1-861~~~ (Bla)blaSHV-179	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-18~~~EU684753:1-861~~~ (Bla)blaSHV-18	L.1490	L.1490.1	L.1490.1.0	L.1490.1.0.0	L.1490.1.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-181~~~KP050488:1-861~~~ (Bla)blaSHV-181	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.5
abricate-argannot@@@argannot~~~(Bla)blaSHV-182~~~KP050489:1-861~~~ (Bla)blaSHV-182	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-183~~~HG934764:1-864~~~ (Bla)blaSHV-183	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.2
abricate-argannot@@@argannot~~~(Bla)blaSHV-185~~~KM233164:1-861~~~ (Bla)blaSHV-185	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-186~~~KM233165:1-861~~~ (Bla)blaSHV-186	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.5
abricate-argannot@@@argannot~~~(Bla)blaSHV-187~~~LN515533:1-867~~~ (Bla)blaSHV-187	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.1
abricate-argannot@@@argannot~~~(Bla)blaSHV-188~~~LN515534:1-873~~~ (Bla)blaSHV-188	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.1
abricate-argannot@@@argannot~~~(Bla)blaSHV-189~~~KP050494:1-861~~~ (Bla)blaSHV-189	L.1490	L.1490.1	L.1490.1.0	L.1490.1.0.0	L.1490.1.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-190~~~KP868753:1-861~~~ (Bla)blaSHV-190	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-191~~~KP868754:1-861~~~ (Bla)blaSHV-191	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.15
abricate-argannot@@@argannot~~~(Bla)blaSHV-193~~~KR347170:1-861~~~ (Bla)blaSHV-193	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-2~~~AF148851:6-866~~~ (Bla)blaSHV-2	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.4
abricate-argannot@@@argannot~~~(Bla)blaSHV-24~~~AB023477:1-861~~~ (Bla)blaSHV-24	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-25~~~AF208796:1-861~~~ (Bla)blaSHV-25	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-26~~~AF227204:74-934~~~ (Bla)blaSHV-26	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.5
abricate-argannot@@@argannot~~~(Bla)blaSHV-27~~~FJ685656:1-861~~~ (Bla)blaSHV-27	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.15
abricate-argannot@@@argannot~~~(Bla)blaSHV-28~~~EU441172:57-917~~~ (Bla)blaSHV-28	L.1490	L.1490.2	L.1490.2.1	L.1490.2.1.0	L.1490.2.1.0.1
abricate-argannot@@@argannot~~~(Bla)blaSHV-29~~~AF301532:8-868~~~ (Bla)blaSHV-29	L.1490	L.1490.0	L.1490.0.1	L.1490.0.1.0	L.1490.0.1.0.2
abricate-argannot@@@argannot~~~(Bla)blaSHV-2a~~~X98102:72-934~~~ (Bla)blaSHV-2a	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.2
abricate-argannot@@@argannot~~~(Bla)blaSHV-30~~~AY661885:49-909~~~ (Bla)blaSHV-30	L.1490	L.1490.1	L.1490.1.1	L.1490.1.1.0	L.1490.1.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-31~~~GU064396:1-861~~~ (Bla)blaSHV-31	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.2
abricate-argannot@@@argannot~~~(Bla)blaSHV-32~~~AY037778:92-952~~~ (Bla)blaSHV-32	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.15
abricate-argannot@@@argannot~~~(Bla)blaSHV-33~~~AY037779:89-949~~~ (Bla)blaSHV-33	L.1490	L.1490.0	L.1490.0.0	L.1490.0.0.0	L.1490.0.0.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-34~~~AY036620:89-949~~~ (Bla)blaSHV-34	L.1490	L.1490.1	L.1490.1.1	L.1490.1.1.0	L.1490.1.1.0.0
abricate-argannot@@@argannot~~~(Bla)blaSHV-35~~~AY070258:1-861~~~ (Bla)blaSHV-35	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.4
abricate-argannot@@@argannot~~~(Bla)blaSHV-36~~~AF467947:1-861~~~ (Bla)blaSHV-36	L.1490	L.1490.0	L.1490.0.2	L.1490.0.2.0	L.1490.0.2.0.5
