"V1","V2","d"
"aac(3)-I","WP_011468318.1","ARO:3002529"
"bla","WP_063860832.1","ARO:3006948"
"bla","WP_179284317.1","ARO:3005588"
"blaOXA","WP_045219048.1","ARO:3003599"
"ampC","WP_367187976.1","ARO:3009034"
"fosB","WP_032488468.1","ARO:3004671"
"blaOXA","WP_063861042.1","ARO:3001654"
"blaOXA","WP_063864089.1","ARO:3003615"
"bla","WP_063842698.1","ARO:3000582"
"bla","WP_202272142.1","ARO:3007855"
"bla","WP_000799232.1","ARO:3002878"
"tet","WP_003242953.1","ARO:3003196"
"bla","WP_011550565.1","ARO:3006955"
"bla","WP_063864723.1","ARO:3000854"
"blaOXA","WP_063839877.1","ARO:3002484"
"catB","WP_010635894.1","ARO:3002680"
"bla","WP_375516062.1","ARO:3008350"
"bla","WP_279240785.1","ARO:3008399"
"bla","WP_148044405.1","ARO:3004559"
"blaOXA","WP_063862540.1","ARO:3001398"
"ant(3'')","WP_001749984.1","ARO:3002616"
"blaSGM","WP_007708339.1","ARO:3006991"
"vanW","WP_010815683.1","ARO:3002964"
"vanR","WP_063856718.1","ARO:3002924"
"vanT","WP_063856753.1","ARO:3002971"
"vanXY","WP_063856813.1","ARO:3002967"
"vanC","WP_063856694.1","ARO:3002907"
"blaR1","WP_063842869.1","ARO:3000215"
"vanC","WP_063856713.1","ARO:3002912"
"vanXY","WP_008377360.1","ARO:3002966"
"vanT","WP_063856757.1","ARO:3002975"
"vanR","WP_063856728.1","ARO:3002929"
"vanS","WP_034869172.1","ARO:3002933"
"blaR1","WP_001096386.1","ARO:3000215"
"ampC","WP_064484002.1","ARO:3006514"
"mph","WP_014325835.1","ARO:3003741"
"bla","WP_063842268.1","ARO:3002483"
"blaSGM","WP_010337133.1","ARO:3006993"
"erm","WP_063844932.1","ARO:3002825"
"cml","WP_014386424.1","ARO:3002705"
"ampC","WP_032489727.1","ARO:3002158"
"blaCDD","WP_021361759.1","ARO:3006905"
"vanX","WP_063856768.1","ARO:3002954"
"blaR1","WP_001096392.1","ARO:3000215"
"tet","WP_063856077.1","ARO:3000174"
"blaOXA","WP_000722315.1","ARO:3001404"
"bla","WP_105796499.1","ARO:3009008"
"bla","WP_188331865.1","ARO:3005661"
"bla","WP_063859341.1","ARO:3002244"
"aph(3')-I","WP_011205810.1","ARO:3002642"
"bla","WP_063860095.1","ARO:3004780"
"bla","WP_137138291.1","ARO:3007206"
"bla","WP_105842598.1","ARO:3009000"
"cfr","WP_001010505.1","ARO:3003441"
"tet(H-J)","WP_015589629.1","ARO:3000175"
"blaOXA","WP_200582679.1","ARO:3008604"
"vat","WP_032489342.1","ARO:3002842"
"bla","WP_188331863.1","ARO:3005587"
"tet","WP_042846365.1","ARO:3004441"
"blaOXA","WP_041816295.1","ARO:3004759"
"bla","WP_063864592.1","ARO:3003715"
"fosB","WP_000943772.1","ARO:3000172"
"blaOXA","WP_204376238.1","ARO:3006127"
"ant(4')-I","WP_001014230.1","ARO:3002623"
"aac(3)","WP_034000523.1","ARO:3002536"
"bla","WP_063857843.1","ARO:3002252"
"ampC","WP_032488864.1","ARO:3002012"
"bla","WP_162338672.1","ARO:3009029"
"ampC","WP_179284384.1","ARO:3006815"
"blaOXA","WP_063862810.1","ARO:3003116"
"aac(6')","WP_038790798.1","ARO:3002569"
"fosA","WP_004214174.1","ARO:3003209"
"ant(4')-I","WP_035202393.1","ARO:3003905"
"blaPEN-bcc","WP_011659342.1","ARO:3009012"
"bla","WP_063860467.1","ARO:3003717"
"blaOXA","WP_077564355.1","ARO:3008734"
"tet","WP_000804064.1","ARO:3000165"
"ant(3'')","WP_071846379.1","ARO:3002605"
"bla","WP_063859348.1","ARO:3002245"
"bla","WP_041385949.1","ARO:3006988"
"vanA","WP_063856714.1","ARO:3002913"
"blaPEN-bcc","WP_163122236.1","ARO:3009026"
"bla","WP_048804470.1","ARO:3009021"
"catB","WP_003112709.1","ARO:3002679"
"bla","WP_027373439.1","ARO:3004771"
"bla","WP_027789588.1","ARO:3009024"
"catA","WP_000412211.1","ARO:3002683"
"bla","WP_110273168.1","ARO:3008784"
"blaIND","WP_002979282.1","ARO:3000841"
"bla-A","WP_027373439.1","ARO:3004771"
"blaOXA","WP_152315468.1","ARO:3006027"
"fos","WP_004214174.1","ARO:3003209"
"blaOXA","WP_102607461.1","ARO:3005793"
"ampC","WP_016809943.1","ARO:3002159"
"fosX","WP_014714131.1","ARO:3007370"
"bla","WP_122630829.1","ARO:3006872"
"vanX","WP_006285588.1","ARO:3002952"
"vanA","WP_063856531.1","ARO:3000010"
"vanH","WP_006285586.1","ARO:3002945"
"bla","WP_015818996.1","ARO:3007002"
"blaDIM","WP_043942497.1","ARO:3006976"
"bla","WP_020924773.1","ARO:3006897"
"catB","WP_063843229.1","ARO:3002678"
"blaOXA","WP_063862737.1","ARO:3001431"
"bla","WP_130202201.1","ARO:3005517"
"bla","WP_062743204.1","ARO:3004782"
"aac(6')","WP_057493474.1","ARO:3003199"
"fos","WP_025205684.1","ARO:3002804"
"bla","WP_053064676.1","ARO:3002403"
"bla","WP_087587947.1","ARO:3005622"
"ampC","WP_032495011.1","ARO:3002161"
"vat","WP_071218948.1","ARO:3003987"
"tet","WP_010981361.1","ARO:3000167"
"blaPNC","WP_367187975.1","ARO:3009033"
"cml","WP_001256773.1","ARO:3002696"
"bla","WP_063864874.1","ARO:3001032"
"fos","WP_023231494.1","ARO:3004113"
"vanA","WP_015943583.1","ARO:3003723"
"vanH","WP_063856698.1","ARO:3002948"
"vga","WP_063856938.1","ARO:3002832"
"blaCARB","WP_025546314.1","ARO:3005567"
"blaCARB","WP_063865165.1","ARO:3007004"
"bla","WP_044403015.1","ARO:3006974"
"ampC","WP_034081664.1","ARO:3005157"
"bla","WP_063859542.1","ARO:3004773"
"ampC","WP_244054059.1","ARO:3008392"
"blaVMB","WP_172692932.1","ARO:3005015"
"aac(6')","WP_005062866.1","ARO:3002567"
"aph(6)-I","WP_000480968.1","ARO:3002660"
"aac(3)-I","WP_063838852.1","ARO:3002600"
"ampC","WP_223146980.1","ARO:3008842"
"catA","WP_011152976.1","ARO:3002683"
"ampC","WP_134265631.1","ARO:3006772"
"ble","WP_000131935.1","ARO:3005036"
"bla","WP_105765688.1","ARO:3009004"
"ampC","WP_007888761.1","ARO:3006869"
"bla","WP_003023375.1","ARO:3004801"
"catA","WP_063843212.1","ARO:3004460"
"blaOXA","WP_054500785.1","ARO:3005992"
"aac(6')","WP_005202238.1","ARO:3002568"
"ampC","WP_132710363.1","ARO:3006811"
"erm","WP_015345217.1","ARO:3000605"
"ampC","WP_311033294.1","ARO:3002521"
"ant(6)","WP_002294505.1","ARO:3002626"
"ant(3'')","WP_070342369.1","ARO:3002605"
"ampC","WP_375516083.1","ARO:3008952"
"bla","WP_214824597.1","ARO:3007470"
"bla","WP_122630834.1","ARO:3006926"
"bla","WP_122630824.1","ARO:3006882"
"qac","WP_000800531.1","ARO:3005098"
"fosX","WP_003726635.1","ARO:3000198"
"aac(3)","WP_044061792.1","ARO:3002537"
"blaOXA","WP_071846203.1","ARO:3005314"
"blaOXA","WP_006384924.1","ARO:3005702"
"bla","WP_043592266.1","ARO:3006865"
"aac(6')","WP_005418370.1","ARO:3003199"
"ampC","WP_033945151.1","ARO:3005039"
"ampC","WP_063864561.1","ARO:3006482"
"bla","WP_063857696.1","ARO:3003716"
"bla","WP_013846594.1","ARO:3006990"
"tet(H-J)","WP_006248867.1","ARO:3000175"
"ampC","WP_063859827.1","ARO:3002031"
"bla","WP_032494759.1","ARO:3003202"
"ampC","WP_063859673.1","ARO:3002120"
"arr","WP_044059783.1","ARO:3002852"
"ampC","WP_032491956.1","ARO:3006228"
"ampC","WP_168370989.1","ARO:3005035"
"ampC","WP_219860729.1","ARO:3007438"
"blaOXA","WP_012705551.1","ARO:3000215"
"bla","WP_064344965.1","ARO:3008793"
"lsa","WP_063851347.1","ARO:3003112"
"ampC","WP_333169117.1","ARO:3007929"
"ampC","WP_032942160.1","ARO:3002099"
"blaOXA","WP_032488483.1","ARO:3001400"
"mph","WP_000155092.1","ARO:3003741"
"aph(3')-V","WP_031129630.1","ARO:3002649"
"bla","WP_002022164.1","ARO:3002248"
"erm","WP_014325825.1","ARO:3003106"
"bla","WP_086979105.1","ARO:3005668"
"bla","WP_219860711.1","ARO:3008074"
"bla","WP_004874166.1","ARO:3007005"
"ampC","WP_063860233.1","ARO:3006875"
"blaOXA","WP_136512077.1","ARO:3005718"
"oqxB","WP_004899982.1","ARO:3003923"
"blaOXA","WP_032488481.1","ARO:3002997"
"cfr","WP_012116915.1","ARO:3002814"
"catA","WP_063843221.1","ARO:3002687"
"vanH","WP_063856699.1","ARO:3002948"
"bla","WP_219860712.1","ARO:3008078"
"bla","WP_213994577.1","ARO:3008075"
"blaCDD","WP_009901927.1","ARO:3006904"
"bla","WP_304486996.1","ARO:3000582"
"bla","WP_021440083.1","ARO:3003154"
"blaOXA","WP_104052979.1","ARO:3008665"
"ant(3'')","WP_071846286.1","ARO:3002605"
"fosA","WP_009486251.1","ARO:3004111"
"bla","WP_063860632.1","ARO:3002265"
"tet(X)","WP_024160783.1","ARO:3004719"
"ampC","WP_047567658.1","ARO:3002494"
"catB","WP_034085125.1","ARO:3003110"
"bla","WP_087744800.1","ARO:3005384"
"bla","WP_231869652.1","ARO:3008237"
"bla","WP_109342732.1","ARO:3009023"
"aph(6)-I","WP_063841666.1","ARO:3002659"
"bla","WP_105837729.1","ARO:3009016"
"bla","WP_063864591.1","ARO:3003714"
"oqxB","AAO18187.2","ARO:3000777"
"bla","WP_063860493.1","ARO:3004793"
"bla","WP_105782476.1","ARO:3009001"
"aac(6')","WP_063840325.1","ARO:3004635"
"bla","WP_063842717.1","ARO:3002513"
"fosX","WP_010989789.1","ARO:3000198"
"aac(3)-II","WP_012695485.1","ARO:3005085"
"ampC","WP_168247881.1","ARO:3005012"
"blaSMB","WP_063864723.1","ARO:3000854"
"bla","WP_088929369.1","ARO:3009015"
"aph(3')","WP_014386410.1","ARO:3002652"
"blaOXA","WP_063864088.1","ARO:3003614"
"aph(3')","WP_010891085.1","ARO:3002641"
"aac(3)-II","WP_015060297.1","ARO:3004621"
"erm","WP_055641627.1","ARO:3001265"
"bla","WP_063842704.1","ARO:3002488"
"blaAMZ","WP_280147732.1","ARO:3007694"
"aac(6')","WP_053461075.1","ARO:3003199"
"bla","WP_088926609.1","ARO:3008998"
"bla","WP_111263186.1","ARO:3007201"
"bla","WP_122630833.1","ARO:3006892"
"bla","WP_105856053.1","ARO:3009013"
"ampC","WP_063860894.1","ARO:3002521"
"aac(6')","WP_262697082.1","ARO:3007204"
"aac(6')","WP_005269797.1","ARO:3002557"
"vat","WP_063856929.1","ARO:3002844"
"aac(6')","WP_032874497.1","ARO:3002561"
"blaOXA","WP_213994601.1","ARO:3008737"
"blaOXA","WP_016852290.1","ARO:3001582"
"aac(6')","WP_038726674.1","ARO:3002569"
"blaOXA","WP_004650739.1","ARO:3001751"
"catA","WP_002210545.1","ARO:3002689"
"aac(3)-I","WP_038404949.1","ARO:3002529"
"dfrA","WP_001355915.1","ARO:3003013"
"aac(6')","WP_023622803.1","ARO:3002594"
"blaOXA","WP_102607462.1","ARO:3005324"
"ampC","WP_064511511.1","ARO:3006540"
"blaFEZ","WP_058468956.1","ARO:3000606"
"bla","WP_109545050.1","ARO:3006866"
"bla","WP_063864602.1","ARO:3003561"
"bla","WP_168247877.1","ARO:3005657"
"bla","WP_063859956.1","ARO:3001999"
"bla","WP_105765076.1","ARO:3009005"
"ampC","WP_148044464.1","ARO:3006748"
"ampC","AAZ85968.1","ARO:3006881"
"aac(6')","WP_063840329.1","ARO:3002564"
"qac","WP_032492097.1","ARO:3005098"
"bla","WP_059330348.1","ARO:3004775"
"blaOXA","WP_279240796.1","ARO:3008602"
"bla","WP_063842669.1","ARO:3000582"
"ampC","WP_148044466.1","ARO:3005293"
"ant(3'')","WP_071846297.1","ARO:3002606"
"bla","WP_063860828.1","ARO:3006944"
"fos","WP_023216493.1","ARO:3004113"
"bla","WP_231869590.1","ARO:3002241"
"bla","WP_081853183.1","ARO:3006885"
"erm","WP_036428783.1","ARO:3004606"
"vanA","WP_063856536.1","ARO:3000010"
"vanX","WP_063856781.1","ARO:3002949"
"dfrA","WP_032490158.1","ARO:3003014"
"qac","WP_015740450.1","ARO:3007015"
"abc-f","WP_063854494.1","ARO:3003036"
"blaOXA","WP_005011312.1","ARO:3001754"
"blaFTU","WP_003023375.1","ARO:3004801"
"blaOXA","WP_134696937.1","ARO:3008571"
"blaESP","WP_063860467.1","ARO:3003717"
"blaOXA","WP_240067735.1","ARO:3008475"
"blaOXA","WP_024916334.1","ARO:3006090"
"bla","WP_000733402.1","ARO:3005097"
"bla","WP_121606866.1","ARO:3008173"
"catA","WP_011751353.1","ARO:3002684"
"bla","WP_011882713.1","ARO:3009007"
"ampC","WP_048209719.1","ARO:3006264"
"ampC","WP_025151790.1","ARO:3002143"
"bla","WP_071846358.1","ARO:3005589"
"ampC","WP_283624015.1","ARO:3008168"
"tet","WP_001039466.1","ARO:3000168"
"tet","WP_011645018.1","ARO:3000165"
"bla-A","WP_061710074.1","ARO:3009035"
"blaOXA","WP_114272532.1","ARO:3005932"
"ampC","WP_109545066.1","ARO:3006474"
"catB","WP_012477387.1","ARO:3002675"
"blaOXA","WP_004295324.1","ARO:3001777"
"cml","WP_063845065.1","ARO:3002705"
"blaOXA","WP_063862734.1","ARO:3001551"
"blaOXA","WP_012662081.1","ARO:3005726"
"bla","WP_063842707.1","ARO:3002511"
"blaPNC","WP_367187976.1","ARO:3009034"
"blaOXA","WP_150664304.1","ARO:3008567"
"tet(H-J)","WP_012209823.1","ARO:3000175"
"catB","WP_002075262.1","ARO:3002680"
"arr","WP_071846280.1","ARO:3002848"
"bla","WP_087587934.1","ARO:3004737"
"ant(3'')-II","WP_004680079.1","ARO:3004682"
"blaOXA","WP_000854010.1","ARO:3001678"
"tet","WP_001089072.1","ARO:3000166"
"bla","WP_005091054.1","ARO:3007180"
"erm","WP_063844871.1","ARO:3001306"
"ampC","WP_375516100.1","ARO:3008973"
"ampC","WP_063842730.1","ARO:3002519"
"bla","WP_150823466.1","ARO:3005585"
"blaOXA","WP_087587942.1","ARO:3005775"
"blaOXA","WP_014386432.1","ARO:3001416"
"erm","WP_031885508.1","ARO:3000375"
"erm","WP_011152925.1","ARO:3000596"
"aph(3'')","WP_063840677.1","ARO:3002638"
"bla","WP_105766562.1","ARO:3008991"
"catB","WP_032489305.1","ARO:3002676"
"vanX","WP_222891056.1","ARO:3007190"
"rmt","WP_063978071.1","ARO:3000862"
"erm","WP_311033296.1","ARO:3004596"
"bla","WP_063860834.1","ARO:3006950"
"bla","WP_063860627.1","ARO:3002260"
"bla","WP_045183849.1","ARO:3005697"
"blaOXA","WP_231869622.1","ARO:3008774"
"blaOXA","WP_116786835.1","ARO:3005933"
"vanR","WP_063856720.1","ARO:3002919"
"bla","WP_063860907.1","ARO:3002426"
"bla","WP_063842712.1","ARO:3002512"
"ampC","WP_111672883.1","ARO:3006649"
"ampC","WP_096807445.1","ARO:3006473"
"ampC","WP_257394585.1","ARO:3008877"
"ampC","WP_164461295.1","ARO:3006761"
"fos","WP_000941935.1","ARO:3004113"
"blaOXA","WP_367187971.1","ARO:3008661"
"blaOXA","WP_092689909.1","ARO:3005878"
"aac(6')-Ie","WP_032490744.1","ARO:3002597"
"sal","WP_096809342.1","ARO:3007029"
"bla","WP_060874262.1","ARO:3006952"
"bla","WP_078793281.1","ARO:3005693"
"blaOXA","WP_034002900.1","ARO:3008655"
"ampC","WP_053816671.1","ARO:3006529"
"nimIJ","WP_005812825.1","ARO:3007112"
"blaOXA","WP_011707905.1","ARO:3008720"
"bla","WP_156404663.1","ARO:3006219"
"blaOXA","WP_279240797.1","ARO:3008603"
"catA","WP_012477888.1","ARO:3004656"
"catA","WP_040564913.1","ARO:3004454"
"ant(3'')","WP_044067522.1","ARO:3002619"
"tet","WP_000804063.1","ARO:3000165"
"vanR","WP_001280781.1","ARO:3002919"
"aph(3')-II","WP_003132309.1","ARO:3002645"
"aph(3')-II","WP_063841661.1","ARO:3002646"
"ampC","WP_148044448.1","ARO:3006726"
"aac(6')","WP_005410660.1","ARO:3002570"
"aac(6')","WP_005296085.1","ARO:3002567"
"bla","WP_043245728.1","ARO:3007199"
"arr","WP_063857694.1","ARO:3002848"
"arr","WP_071846202.1","ARO:3002848"
"blaOXA","WP_114699266.1","ARO:3005934"
"blaOXA","WP_007879679.1","ARO:3006105"
"vga","WP_002440627.1","ARO:3002829"
"ampC","WP_063843234.1","ARO:3008390"
"aac(6')","WP_047426753.1","ARO:3002561"
"blaB1PEDO","WP_063864592.1","ARO:3003715"
"ant(3'')","WP_070342373.1","ARO:3002616"
"blaOXA","WP_052266736.1","ARO:3001461"
"blaOXA","WP_011013281.1","ARO:3004239"
"bla","WP_063842695.1","ARO:3000582"
"ampC","WP_008815550.1","ARO:3006231"
"aph(3')","WP_000422636.1","ARO:3002652"
"aph(3')","WP_063842179.1","ARO:3002651"
"cfr","WP_002349981.1","ARO:3004649"
"blaOXA","WP_114230457.1","ARO:3008683"
"blaOXA","WP_252649526.1","ARO:3008688"
"ampC","WP_063857772.1","ARO:3001849"
"blaOXA","WP_033984473.1","ARO:3008680"
"blaOXA","WP_053814856.1","ARO:3008694"
"erm","WP_009950391.1","ARO:3000326"
"vanR","WP_222891057.1","ARO:3007191"
"bla","WP_063860216.1","ARO:3000842"
"bla","WP_375516054.1","ARO:3008077"
"blaOXA","WP_063864087.1","ARO:3003613"
"blaOXA","WP_033887259.1","ARO:3008455"
"aac(3)","WP_033147097.1","ARO:3002534"
"bla","WP_184489348.1","ARO:3008822"
"cfr","WP_011245929.1","ARO:3002816"
"tet","WP_031942321.1","ARO:3000165"
"blaOXA","WP_054428802.1","ARO:3003611"
"blaOXA","WP_048806429.1","ARO:3001456"
"ampC","WP_122630851.1","ARO:3005310"
"blaOXA","WP_031694184.1","ARO:3006095"
"ampC","WP_099156055.1","ARO:3006232"
"bla","WP_063860852.1","ARO:3003842"
"qac","WP_057094859.1","ARO:3007014"
"blaOXA","WP_140423324.1","ARO:3006030"
"bla","WP_019050927.1","ARO:3005671"
"bla","WP_004339683.1","ARO:3003002"
"tet","WP_032488557.1","ARO:3000174"
"bla","WP_063859570.1","ARO:3006155"
"bla","WP_038976851.1","ARO:3001041"
"blaOXA","WP_052248074.1","ARO:3008739"
"blaOXA","WP_052794776.1","ARO:3005846"
"bla","WP_063860624.1","ARO:3002269"
"aac(3)-IV","WP_149317372.1","ARO:3005061"
"qac","WP_010890145.1","ARO:3005009"
"bla","WP_088924033.1","ARO:3009006"
"gar","WP_052905207.1","ARO:3003949"
"vanS","WP_002305818.1","ARO:3002931"
"aac(3)-I","WP_079459897.1","ARO:3002530"
"bla","WP_063859363.1","ARO:3002247"
"bla","WP_071766619.1","ARO:3000849"
"vanA","WP_041219811.1","ARO:3003723"
"vanX","WP_023043158.1","ARO:3003070"
"bla","WP_219860717.1","ARO:3009081"
"bla","WP_004287923.1","ARO:3004795"
"bla","WP_043942497.1","ARO:3006976"
"blaOXA","WP_150662373.1","ARO:3008570"
"fos","WP_114473955.1","ARO:3003209"
"cml","WP_010890215.1","ARO:3002703"
"bla","WP_025442943.1","ARO:3003186"
"bla","WP_063860089.1","ARO:3001951"
"blaOXA","WP_058145768.1","ARO:3008700"
"ant(3'')","WP_031192893.1","ARO:3002614"
"aac(6')","WP_071846318.1","ARO:3004635"
"ampC","WP_063859872.1","ARO:3002095"
"blaOXA","WP_006391197.1","ARO:3001610"
"aac(6')","WP_005414154.1","ARO:3002570"
"ampC","WP_242934066.1","ARO:3007890"
"blaOXA","WP_034047652.1","ARO:3008691"
"ampC","WP_168247882.1","ARO:3005013"
"blaOXA","WP_268871881.1","ARO:3008595"
"fos","WP_034169466.1","ARO:3003210"
"tet","WP_000841446.1","ARO:3000167"
"tet","WP_063855888.1","ARO:3000165"
"blaOXA","WP_034612711.1","ARO:3005158"
"vanA","WP_023043159.1","ARO:3000005"
"bla","WP_063108644.1","ARO:3001998"
"ampC","WP_063857771.1","ARO:3001843"
"blaCARB","WP_005391263.1","ARO:3007836"
"ampC","WP_029925205.1","ARO:3002520"
"blaPEN-bcc","WP_011882713.1","ARO:3009007"
"bla","WP_063842696.1","ARO:3000582"
"bla","WP_013255389.1","ARO:3006997"
"fos","WP_000777201.1","ARO:3007371"
"bla","WP_063857835.1","ARO:3002240"
"bla","WP_087094142.1","ARO:3005544"
"bla","WP_048334865.1","ARO:3002425"
"blaOXA","WP_063569909.1","ARO:3001503"
"blaOXA","WP_116786833.1","ARO:3005936"
"bla","WP_063978070.1","ARO:3004092"
"fos","WP_054890630.1","ARO:3003207"
"ampC","WP_085562393.1","ARO:3006556"
"ble","WP_063856941.1","ARO:3002596"
"erm","WP_046361760.1","ARO:3004596"
"bla","WP_068981631.1","ARO:3005583"
"bla","WP_000733281.1","ARO:3000621"
"dfrA","WP_004201280.1","ARO:3002859"
"aac(3)","WP_012695485.1","ARO:3005085"
"ampC","WP_063859873.1","ARO:3002096"
"bla","WP_024530279.1","ARO:3008178"
"blaOXA","WP_063861840.1","ARO:3001692"
"blaOXA","WP_240067731.1","ARO:3008470"
"blaOXA","WP_000713530.1","ARO:3001705"
"tet","WP_000841448.1","ARO:3000167"
"ampC","WP_063860847.1","ARO:3002184"
"bla","WP_015083750.1","ARO:3006912"
"blaOXA","WP_058142895.1","ARO:3008448"
"bla","WP_063864747.1","ARO:3003793"
"bla","WP_032687534.1","ARO:3009030"
"bla","WP_136512109.1","ARO:3005514"
"blaOXA","WP_023122435.1","ARO:3008545"
"bla","WP_231869593.1","ARO:3009080"
"blaOXA","WP_049044515.1","ARO:3008730"
"tet","WP_148044404.1","ARO:3004591"
"blaOXA","WP_004867933.1","ARO:3001763"
"blaOXA","WP_023097100.1","ARO:3008451"
"bla","WP_085562388.1","ARO:3006910"
"blaOXA","WP_094069128.1","ARO:3008674"
"ampC","WP_048241752.1","ARO:3002052"
"blaR1","WP_001096376.1","ARO:3000215"
"sal","WP_218702729.1","ARO:3007027"
"erm","WP_311033295.1","ARO:3004596"
"bla","WP_063860092.1","ARO:3001955"
"erm","WP_011117197.1","ARO:3000595"
"blaOXA","WP_268871867.1","ARO:3008573"
"aac(6')","WP_063840328.1","ARO:3002562"
"ampC","WP_148044402.1","ARO:3004648"
"bla","WP_044103626.1","ARO:3006216"
"cml","WP_011113071.1","ARO:3002703"
"aph(6)-I","WP_003970239.1","ARO:3002657"
"blaOXA","WP_164461292.1","ARO:3006094"
"dfrA","WP_071846388.1","ARO:3002861"
"bla","WP_268871865.1","ARO:3008396"
"vanA","WP_058492019.1","ARO:3003723"
"bla","WP_117664257.1","ARO:3003097"
"qac","WP_000622778.1","ARO:3003047"
"blaOXA","WP_223146972.1","ARO:3008439"
"ampC","WP_063857698.1","ARO:3006230"
"bla","WP_114699283.1","ARO:3005507"
"blaSGM","WP_041385949.1","ARO:3006988"
"bla","WP_109545042.1","ARO:3006963"
"dfrA","WP_001389366.1","ARO:3002860"
"aac(3)-II","WP_063840267.1","ARO:3004621"
"erm","WP_002682030.1","ARO:3000498"
"blaOXA","WP_213994604.1","ARO:3008742"
"blaOXA","WP_121306048.1","ARO:3008442"
"bla","WP_105846710.1","ARO:3008988"
"ant(3'')","WP_071846244.1","ARO:3002605"
"aac(3)","WP_063840271.1","ARO:3002542"
"ant(6)","WP_001255864.1","ARO:3002628"
"bla","WP_338424141.1","ARO:3009086"
"blaDIM","WP_063860203.1","ARO:3000848"
"dfrB","WP_010890144.1","ARO:3003022"
"ampC","WP_064483996.1","ARO:3006508"
"aac(6')","WP_016930164.1","ARO:3002549"
"ampC","WP_048321520.1","ARO:3002494"
"tet","WP_011860841.1","ARO:3000186"
"cml","WP_071846279.1","ARO:3002695"
"ampC","WP_032974004.1","ARO:3006922"
"blaOXA","WP_033954903.1","ARO:3003642"
"bla","WP_085562389.1","ARO:3006909"
"ampC","WP_039272978.1","ARO:3003172"
"bla","WP_063865198.1","ARO:3005497"
"blaOXA","WP_128268283.1","ARO:3009042"
"bla","WP_136512107.1","ARO:3005503"
"blaOXA","WP_034080731.1","ARO:3008704"
"bla","WP_047664983.1","ARO:3006969"
"blaOXA","WP_375516070.1","ARO:3008692"
"aph(3')","WP_063841495.1","ARO:3002647"
"blaOXA","WP_242934118.1","ARO:3008523"
"erm","WP_139847607.1","ARO:3003106"
"ampC","WP_063840463.1","ARO:3008390"
"ant(6)","WP_003454325.1","ARO:3002629"
"nim","WP_087312253.1","ARO:3007109"
"vanR","WP_063856722.1","ARO:3002923"
"vanS","WP_063856743.1","ARO:3002933"
"bla","WP_063843242.1","ARO:3003002"
"bla","WP_206340447.1","ARO:3008394"
"aph(2'')-I","WP_021424053.1","ARO:3004191"
"nim","WP_005812773.1","ARO:3007107"
"rmt","WP_063866478.1","ARO:3004678"
"tet","WP_063856407.1","ARO:3000191"
"catB","WP_032492194.1","ARO:3002676"
"tet","WP_006744283.1","ARO:3000197"
"bla","WP_010992371.1","ARO:3006225"
"vanR","WP_063856727.1","ARO:3002923"
"bla","WP_063865204.1","ARO:3006224"
"vanR","WP_023043165.1","ARO:3002923"
"nim","WP_063854492.1","ARO:3007106"
"ant(6)","WP_001255868.1","ARO:3002629"
"tet","WP_002872163.1","ARO:3007120"
"vanA","WP_063856693.1","ARO:3000005"
"vanX","WP_063856775.1","ARO:3003070"
"vanS","WP_063856738.1","ARO:3002934"
"ant(6)","WP_001255866.1","ARO:3002628"
"vanW","WP_063856762.1","ARO:3002965"
"cfr","WP_111690898.1","ARO:3005023"
"fosB","WP_085562382.1","ARO:3004672"
"bla","WP_193683783.1","ARO:3009098"
"bla","WP_063860531.1","ARO:3004803"
"erm","WP_002571018.1","ARO:3007041"
"vanX","WP_063856776.1","ARO:3003070"
"vanA","WP_063856690.1","ARO:3000005"
"vanH","WP_063856702.1","ARO:3002944"
"vanS","WP_063856730.1","ARO:3002934"
"vanA","WP_006285587.1","ARO:3002908"
"fosA","WP_114473955.1","ARO:3003209"
"bla","WP_011094382.1","ARO:3006903"
"blaOXA","WP_242934114.1","ARO:3008519"
"bla","WP_034866180.1","ARO:3005678"
"bla","WP_078703439.1","ARO:3005680"
"aph(3')","WP_019407932.1","ARO:3004675"
"qac","WP_003830719.1","ARO:3007014"
"blaOXA","WP_237920325.1","ARO:3008526"
"blaOXA","WP_240067733.1","ARO:3008473"
"bla","WP_007688792.1","ARO:3006989"
"aac(3)","WP_015060297.1","ARO:3004621"
"bla","WP_063864549.1","ARO:3002408"
"aac(6')","WP_005243483.1","ARO:3002557"
"bla","WP_063865197.1","ARO:3005495"
"blaALI","WP_026025287.1","ARO:3006894"
"bla","WP_262697127.1","ARO:3008192"
"bla","WP_024567831.1","ARO:3005675"
"bla","WP_099982802.1","ARO:3002486"
"blaOXA","WP_075112279.1","ARO:3008736"
"bla","WP_059323095.1","ARO:3005686"
"aph(3')","WP_063840676.1","ARO:3002638"
"aac(6')","WP_071593229.1","ARO:3002553"
"bla","WP_148044475.1","ARO:3006217"
"bla","WP_009089555.1","ARO:3005669"
"bla","WP_242934074.1","ARO:3008249"
"bla","WP_078797000.1","ARO:3005682"
"bla","WP_065825678.1","ARO:3009079"
"bla","WP_013578129.1","ARO:3009036"
"bla","WP_058879139.1","ARO:3005687"
"vanU","WP_021418929.1","ARO:3004253"
"vanXY","WP_063856783.1","ARO:3003069"
"ampC","AAC77110.1","ARO:3004290"
"tet","WP_122634437.1","ARO:3004442"
"tet","WP_003505402.1","ARO:3000196"
"nimIJ","WP_021588763.1","ARO:3007111"
