protein_id	cluster_90	cluster_95	cluster_975	cluster_99
abricate-card@@@card~~~OXA-234~~~NG_050607.1:100-925~~~carbapenem;penicillin_beta-lactam	1971	2553	3594	5715
abricate-card@@@card~~~OXA-235~~~JQ820240.2:590-1421~~~carbapenem;penicillin_beta-lactam	2082	2693	3504	5505
abricate-card@@@card~~~OXA-236~~~JQ820242.1:0-831~~~carbapenem;penicillin_beta-lactam	2082	2693	3504	5505
abricate-card@@@card~~~OXA-237~~~JQ820241.1:0-831~~~carbapenem;penicillin_beta-lactam	2082	2693	3504	5505
abricate-card@@@card~~~OXA-239~~~JQ837239.1:0-822~~~carbapenem;penicillin_beta-lactam	1802	2327	3010	5812
abricate-card@@@card~~~OXA-23~~~AY795964.1:0-822~~~carbapenem;penicillin_beta-lactam	1802	2327	3010	4430
abricate-card@@@card~~~OXA-240~~~JX089628.1:0-801~~~cephalosporin;penicillin_beta-lactam	2093	2711	3531	5552
abricate-card@@@card~~~OXA-241~~~JX025021.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5678
abricate-card@@@card~~~OXA-242~~~JX025022.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5679
abricate-card@@@card~~~OXA-243~~~JX206446.1:0-828~~~penicillin_beta-lactam	2081	2691	3499	5506
abricate-card@@@card~~~OXA-244~~~JX438000.1:0-798~~~carbapenem;penicillin_beta-lactam	2283	2950	3895	6203
abricate-card@@@card~~~OXA-245~~~JX438001.1:0-798~~~carbapenem;penicillin_beta-lactam	2283	2950	3895	6175
abricate-card@@@card~~~OXA-246~~~KF711993.1:0-801~~~cephalosporin;penicillin_beta-lactam	2093	2711	3531	5552
abricate-card@@@card~~~OXA-247~~~JX893517.1:0-786~~~carbapenem;penicillin_beta-lactam	2283	2950	3895	6238
abricate-card@@@card~~~OXA-248~~~HE963769.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3598	5433
abricate-card@@@card~~~OXA-249~~~HE963770.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3592	5663
abricate-card@@@card~~~OXA-24~~~AF509241.1:0-828~~~carbapenem;monobactam;penicillin_beta-lactam	2041	2638	3429	5399
abricate-card@@@card~~~OXA-250~~~HE963771.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3598	5680
abricate-card@@@card~~~OXA-251~~~JN118546.1:1761-2562~~~cephalosporin;penicillin_beta-lactam	2093	2711	3531	6133
abricate-card@@@card~~~OXA-252~~~CP022089.2:2725083-2724285~~~carbapenem;penicillin_beta-lactam	2283	2950	3895	6179
abricate-card@@@card~~~OXA-253~~~KC479324.2:575-1403~~~carbapenem;penicillin_beta-lactam	2102	2721	3553	5580
abricate-card@@@card~~~OXA-254~~~AB781687.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3594	5523
abricate-card@@@card~~~OXA-255~~~KC479325.2:668-1496~~~carbapenem;penicillin_beta-lactam	2102	2721	3543	5581
abricate-card@@@card~~~OXA-256~~~HE616889.1:1826-2627~~~cephalosporin;penicillin_beta-lactam	2093	2711	3531	5552
abricate-card@@@card~~~OXA-257~~~KC567681.1:1210-2041~~~carbapenem;penicillin_beta-lactam	1590	2065	3522	5507
abricate-card@@@card~~~OXA-258~~~HE614014.2:0-825~~~penicillin_beta-lactam	2109	2731	3554	5582
abricate-card@@@card~~~OXA-259~~~KF305666.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3453	5670
abricate-card@@@card~~~OXA-25~~~AF201826.1:21-849~~~carbapenem;penicillin_beta-lactam	2041	2638	3429	5398
abricate-card@@@card~~~OXA-260~~~APOR01000009.1:341736-342561~~~carbapenem;penicillin_beta-lactam	1971	2553	3594	5523
abricate-card@@@card~~~OXA-261~~~APQV01000009.1:266252-267077~~~carbapenem;penicillin_beta-lactam	1971	2553	3320	5686
abricate-card@@@card~~~OXA-262~~~APRA01000005.1:465153-465978~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5687
abricate-card@@@card~~~OXA-263~~~APQY01000006.1:416598-417423~~~carbapenem;penicillin_beta-lactam	1971	2553	3604	5688
abricate-card@@@card~~~OXA-264~~~APQQ01000012.1:287728-286900~~~carbapenem;penicillin_beta-lactam	2108	2730	3552	5579
abricate-card@@@card~~~OXA-265~~~PXZD01000001.1:1357462-1356634~~~carbapenem;penicillin_beta-lactam	2108	2730	3552	5579
abricate-card@@@card~~~OXA-266~~~APPO01000008.1:268400-267572~~~penicillin_beta-lactam	2062	2669	3555	5583
abricate-card@@@card~~~OXA-267~~~APQH01000006.1:1454173-1454995~~~carbapenem;penicillin_beta-lactam	2157	2789	3671	5838
abricate-card@@@card~~~OXA-268~~~APOE01000008.1:972910-972088~~~carbapenem;penicillin_beta-lactam	2157	2789	3658	5839
abricate-card@@@card~~~OXA-269~~~APQJ01000007.1:349333-350155~~~carbapenem;penicillin_beta-lactam	2158	2793	3672	5840
abricate-card@@@card~~~OXA-26~~~AF201827.1:21-849~~~carbapenem;penicillin_beta-lactam	2041	2638	3429	5399
abricate-card@@@card~~~OXA-270~~~APQM01000006.1:256342-257164~~~carbapenem;penicillin_beta-lactam	2156	2794	3673	5841
abricate-card@@@card~~~OXA-271~~~APQO01000006.1:135802-134980~~~carbapenem;penicillin_beta-lactam	2156	2794	3674	5842
abricate-card@@@card~~~OXA-272~~~APQP01000003.1:306251-307073~~~carbapenem;penicillin_beta-lactam	2156	2786	3675	5843
abricate-card@@@card~~~OXA-273~~~APQN01000012.1:1170132-1170954~~~carbapenem;penicillin_beta-lactam	2156	2795	3676	5844
abricate-card@@@card~~~OXA-274~~~ASQG01000007.1:15484-16330~~~carbapenem;penicillin_beta-lactam	2010	2599	3379	5294
abricate-card@@@card~~~OXA-275~~~APPJ01000001.1:17227-18073~~~carbapenem;penicillin_beta-lactam	2010	2599	3379	5293
abricate-card@@@card~~~OXA-276~~~APPI01000013.1:55474-54643~~~carbapenem;penicillin_beta-lactam	2082	2697	3510	5516
abricate-card@@@card~~~OXA-277~~~APPQ01000011.1:9160-9991~~~carbapenem;penicillin_beta-lactam	2082	2697	3511	5517
abricate-card@@@card~~~OXA-278~~~KC771279.1:0-831~~~carbapenem;penicillin_beta-lactam	2082	2694	3505	5508
abricate-card@@@card~~~OXA-279~~~APOM01000058.1:55702-54862~~~penicillin_beta-lactam	2036	2632	3422	5384
abricate-card@@@card~~~OXA-27~~~AF201828.2:115-937~~~carbapenem;penicillin_beta-lactam	1802	2327	3010	4430
abricate-card@@@card~~~OXA-280~~~APPZ01000001.1:7525-8353~~~carbapenem;penicillin_beta-lactam	2110	2732	3556	5584
abricate-card@@@card~~~OXA-281~~~APON01000041.1:10443-11268~~~carbapenem;penicillin_beta-lactam	2110	2732	3603	5685
abricate-card@@@card~~~OXA-282~~~AMFJ01001993.1:70-901~~~carbapenem;penicillin_beta-lactam	2034	2671	3509	5513
abricate-card@@@card~~~OXA-283~~~APOG01000008.1:114899-115730~~~carbapenem;penicillin_beta-lactam	2034	2671	3509	5513
abricate-card@@@card~~~OXA-284~~~APRU01000004.1:72684-73515~~~carbapenem;penicillin_beta-lactam	2034	2688	3496	5514
abricate-card@@@card~~~OXA-285~~~APRY01000059.1:64996-65827~~~carbapenem;penicillin_beta-lactam	2034	2636	3495	5515
abricate-card@@@card~~~OXA-286~~~APOI01000030.1:189485-190328~~~carbapenem;penicillin_beta-lactam	2021	2620	3403	5354
abricate-card@@@card~~~OXA-287~~~NG_050609.1:100-937~~~carbapenem;penicillin_beta-lactam	2021	2612	3445	5424
abricate-card@@@card~~~OXA-288~~~APRN01000033.1:307932-307089~~~carbapenem;penicillin_beta-lactam	2021	2615	3402	5353
abricate-card@@@card~~~OXA-289~~~APRM01000005.1:283403-282563~~~penicillin_beta-lactam	2036	2645	3437	5410
abricate-card@@@card~~~OXA-28~~~AF231133.1:1345-2146~~~cephalosporin;penicillin_beta-lactam	2093	2740	3862	6128
abricate-card@@@card~~~OXA-290~~~APOK01000044.1:290736-289938~~~penicillin_beta-lactam	2036	2645	3438	5412
abricate-card@@@card~~~OXA-291~~~APRL01000010.1:280280-279443~~~carbapenem;penicillin_beta-lactam	2051	2655	3450	5430
abricate-card@@@card~~~OXA-292~~~APRO01000007.1:300775-299938~~~carbapenem;penicillin_beta-lactam	2051	2655	3450	5429
abricate-card@@@card~~~OXA-293~~~NG_050610.1:100-937~~~carbapenem;penicillin_beta-lactam	2051	2652	3446	5425
abricate-card@@@card~~~OXA-294~~~APPC01000015.1:270698-269861~~~penicillin_beta-lactam	2053	2654	3449	5428
abricate-card@@@card~~~OXA-295~~~APRW01000016.1:274795-273958~~~penicillin_beta-lactam	2053	2654	3448	5427
abricate-card@@@card~~~OXA-296~~~APOH01000009.1:221443-220588~~~penicillin_beta-lactam	1964	2545	3310	5191
abricate-card@@@card~~~OXA-297~~~APRR01000006.1:288976-288118~~~penicillin_beta-lactam	1948	2527	3291	5168
abricate-card@@@card~~~OXA-298~~~APSA01000003.1:159905-160763~~~penicillin_beta-lactam	1948	2527	3291	5165
abricate-card@@@card~~~OXA-299~~~APQD01000016.1:31095-31929~~~penicillin_beta-lactam	2060	2667	3472	5464
abricate-card@@@card~~~OXA-29~~~AJ400619.1:33-834~~~penicillin_beta-lactam	2262	2924	3864	6129
abricate-card@@@card~~~OXA-2~~~X07260.1:700-1528~~~cephalosporin;penicillin_beta-lactam	1729	2240	2910	4287
abricate-card@@@card~~~OXA-300~~~APPK01000054.1:256746-255915~~~carbapenem;penicillin_beta-lactam	1590	2065	3508	5512
abricate-card@@@card~~~OXA-301~~~APQG01000050.1:22158-21327~~~carbapenem;penicillin_beta-lactam	1590	2065	2705	4017
abricate-card@@@card~~~OXA-302~~~APRT01000004.1:76527-77370~~~carbapenem;penicillin_beta-lactam	2022	2613	3400	5351
abricate-card@@@card~~~OXA-303~~~APSD01000035.1:194492-195335~~~carbapenem;penicillin_beta-lactam	2021	2612	3399	5350
abricate-card@@@card~~~OXA-304~~~APSC01000007.1:142960-142138~~~carbapenem;penicillin_beta-lactam	2157	2792	3669	5836
abricate-card@@@card~~~OXA-305~~~APPF01000021.1:348832-349654~~~carbapenem;penicillin_beta-lactam	2157	2792	3670	5837
abricate-card@@@card~~~OXA-306~~~APSB01000022.1:300792-299955~~~carbapenem;penicillin_beta-lactam	2052	2653	3447	5426
abricate-card@@@card~~~OXA-307~~~NG_050611.1:100-937~~~carbapenem;penicillin_beta-lactam	2050	2651	3444	5423
abricate-card@@@card~~~OXA-308~~~APPN01000080.1:349338-348498~~~penicillin_beta-lactam	2035	2631	3421	5381
abricate-card@@@card~~~OXA-309~~~HF947514.1:0-825~~~carbapenem;penicillin_beta-lactam	2110	2758	3599	5681
abricate-card@@@card~~~OXA-312~~~KF057029.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5401
abricate-card@@@card~~~OXA-313~~~KF057030.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5401
abricate-card@@@card~~~OXA-314~~~KF057031.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5647
abricate-card@@@card~~~OXA-315~~~KF057032.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3516	5524
abricate-card@@@card~~~OXA-316~~~KF057033.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3516	5524
abricate-card@@@card~~~OXA-317~~~KF057034.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3602	5438
abricate-card@@@card~~~OXA-31~~~AF294653.1:753-1584~~~cephalosporin;penicillin_beta-lactam	2064	2672	3478	5503
abricate-card@@@card~~~OXA-320~~~KF151169.1:0-831~~~cephalosporin;penicillin_beta-lactam	2064	2672	3478	5473
abricate-card@@@card~~~OXA-322~~~KF203096.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3656	5813
abricate-card@@@card~~~OXA-323~~~KF203097.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3657	5814
abricate-card@@@card~~~OXA-324~~~KF203098.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3658	5815
abricate-card@@@card~~~OXA-325~~~KF203099.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3659	5816
abricate-card@@@card~~~OXA-326~~~KF203100.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3659	5817
abricate-card@@@card~~~OXA-327~~~KF203101.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3657	5818
abricate-card@@@card~~~OXA-328~~~KF203102.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3660	5819
abricate-card@@@card~~~OXA-329~~~KF203103.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3661	5820
abricate-card@@@card~~~OXA-32~~~AF315351.1:672-1500~~~cephalosporin;penicillin_beta-lactam	1729	2240	2910	4287
abricate-card@@@card~~~OXA-330~~~KF203104.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3662	5821
abricate-card@@@card~~~OXA-331~~~KF203105.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3657	5822
abricate-card@@@card~~~OXA-332~~~KF203106.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3657	5823
abricate-card@@@card~~~OXA-333~~~KF203107.1:0-825~~~carbapenem;penicillin_beta-lactam	2110	2732	3600	5682
abricate-card@@@card~~~OXA-334~~~KF203108.1:0-825~~~carbapenem;penicillin_beta-lactam	2110	2758	3601	5683
abricate-card@@@card~~~OXA-335~~~KF203109.1:0-822~~~carbapenem;penicillin_beta-lactam	2034	2788	3654	5824
abricate-card@@@card~~~OXA-336~~~KF048907.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3594	5523
abricate-card@@@card~~~OXA-337~~~PYSX01000023.1:160178-161003~~~carbapenem;penicillin_beta-lactam	1971	2553	3320	5632
abricate-card@@@card~~~OXA-338~~~KF048909.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5653
abricate-card@@@card~~~OXA-339~~~KF048911.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3593	5269
abricate-card@@@card~~~OXA-33~~~AY008291.1:0-768~~~penicillin_beta-lactam	2064	2672	3478	5503
abricate-card@@@card~~~OXA-340~~~NGCN01000023.1:66595-65770~~~carbapenem;penicillin_beta-lactam	1971	2553	3614	5719
abricate-card@@@card~~~OXA-341~~~KF048913.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3606	5633
abricate-card@@@card~~~OXA-342~~~KF048915.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3592	5713
abricate-card@@@card~~~OXA-343~~~NWUK01000007.1:12964-12139~~~carbapenem;penicillin_beta-lactam	1971	2553	3592	5634
abricate-card@@@card~~~OXA-344~~~KF048917.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3453	5708
abricate-card@@@card~~~OXA-345~~~KF048918.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3516	5635
abricate-card@@@card~~~OXA-346~~~KF048919.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3598	5636
abricate-card@@@card~~~OXA-347~~~JN086160.1:2407-1582~~~penicillin_beta-lactam	2127	2754	3587	5637
abricate-card@@@card~~~OXA-348~~~KF297577.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3655	5825
abricate-card@@@card~~~OXA-349~~~KF297578.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3663	5826
abricate-card@@@card~~~OXA-34~~~AF350424.1:0-771~~~penicillin_beta-lactam	1729	2240	2910	4287
abricate-card@@@card~~~OXA-350~~~KF297579.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3664	5827
abricate-card@@@card~~~OXA-351~~~KF297580.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3655	5825
abricate-card@@@card~~~OXA-352~~~KF297581.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3659	5816
abricate-card@@@card~~~OXA-353~~~KF297582.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3665	5828
abricate-card@@@card~~~OXA-354~~~KF297583.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3661	5829
abricate-card@@@card~~~OXA-355~~~KF297584.1:0-831~~~carbapenem;penicillin_beta-lactam	1590	2065	2705	5509
abricate-card@@@card~~~OXA-356~~~KF297585.1:0-831~~~carbapenem;penicillin_beta-lactam	1590	2065	2705	5509
abricate-card@@@card~~~OXA-357~~~KF421160.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2790	3666	5830
abricate-card@@@card~~~OXA-358~~~KF421161.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2789	3657	5831
abricate-card@@@card~~~OXA-359~~~KF421162.1:0-822~~~carbapenem;penicillin_beta-lactam	2157	2791	3667	5832
abricate-card@@@card~~~OXA-35~~~AF315786.1:1313-2114~~~cephalosporin;penicillin_beta-lactam	2093	2740	3862	6128
abricate-card@@@card~~~OXA-360~~~KF421163.1:0-831~~~carbapenem;penicillin_beta-lactam	2082	2695	3506	5510
abricate-card@@@card~~~OXA-361~~~KF460531.1:0-831~~~carbapenem;penicillin_beta-lactam	2034	2687	3494	5491
abricate-card@@@card~~~OXA-362~~~KF460532.1:0-831~~~carbapenem;penicillin_beta-lactam	2034	2636	3495	5492
abricate-card@@@card~~~OXA-363~~~KF460533.1:0-831~~~carbapenem;penicillin_beta-lactam	2034	2688	3496	5493
abricate-card@@@card~~~OXA-364~~~JX306689.2:0-828~~~penicillin_beta-lactam	2101	2720	3542	5565
abricate-card@@@card~~~OXA-365~~~KF885217.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5638
abricate-card@@@card~~~OXA-366~~~KP050485.1:0-822~~~carbapenem;penicillin_beta-lactam	1802	2327	3010	4430
abricate-card@@@card~~~OXA-368~~~KT736121.1:1176-1977~~~cephalosporin;penicillin_beta-lactam	2093	2711	3531	6124
abricate-card@@@card~~~OXA-36~~~AF300985.1:1-739~~~penicillin_beta-lactam	1729	2240	2910	4287
abricate-card@@@card~~~OXA-370~~~KF900153.1:0-798~~~carbapenem;penicillin_beta-lactam	2283	2950	3895	6175
abricate-card@@@card~~~OXA-371~~~AB871653.1:11870-12695~~~carbapenem;penicillin_beta-lactam	1971	2553	3598	5433
abricate-card@@@card~~~OXA-372~~~KJ746496.1:0-774~~~carbapenem;penicillin_beta-lactam	2393	3091	4078	6468
abricate-card@@@card~~~OXA-373~~~HG931732.1:0-825~~~carbapenem;penicillin_beta-lactam	2110	2732	3588	5639
abricate-card@@@card~~~OXA-374~~~KF986255.1:16-841~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5401
abricate-card@@@card~~~OXA-375~~~KF986256.1:865-40~~~carbapenem;penicillin_beta-lactam	1971	2553	3362	5640
abricate-card@@@card~~~OXA-376~~~KF986257.1:20-845~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5363
abricate-card@@@card~~~OXA-377~~~KF986258.1:14-839~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5730
abricate-card@@@card~~~OXA-378~~~KF986259.1:841-16~~~carbapenem;penicillin_beta-lactam	1971	2553	3319	5202
abricate-card@@@card~~~OXA-379~~~KF986260.1:20-845~~~carbapenem;penicillin_beta-lactam	1971	2553	3319	5364
abricate-card@@@card~~~OXA-37~~~AY007784.1:1122-1923~~~penicillin_beta-lactam	2261	2923	3863	6127
abricate-card@@@card~~~OXA-380~~~KF986261.1:869-44~~~carbapenem;penicillin_beta-lactam	1971	2553	3320	5203
abricate-card@@@card~~~OXA-381~~~KJ135344.1:14-839~~~carbapenem;penicillin_beta-lactam	1971	2553	3453	5435
abricate-card@@@card~~~OXA-382~~~KJ135345.1:14-839~~~carbapenem;penicillin_beta-lactam	1971	2553	3593	5436
abricate-card@@@card~~~OXA-383~~~KF986262.1:852-27~~~carbapenem;penicillin_beta-lactam	1971	2553	3591	5204
abricate-card@@@card~~~OXA-384~~~KF986263.1:915-90~~~carbapenem;penicillin_beta-lactam	1971	2553	3319	5205
abricate-card@@@card~~~OXA-385~~~KF986253.1:840-15~~~carbapenem;penicillin_beta-lactam	1971	2553	3362	5400
abricate-card@@@card~~~OXA-386~~~KF986254.1:859-34~~~carbapenem;penicillin_beta-lactam	1971	2553	3591	5434
abricate-card@@@card~~~OXA-387~~~KJ173478.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3591	5204
abricate-card@@@card~~~OXA-388~~~KJ135343.1:14-839~~~carbapenem;penicillin_beta-lactam	1971	2553	3319	5202
abricate-card@@@card~~~OXA-389~~~KJ135346.1:14-839~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5437
abricate-card@@@card~~~OXA-390~~~KJ135342.1:873-48~~~carbapenem;penicillin_beta-lactam	1971	2553	3320	5269
abricate-card@@@card~~~OXA-391~~~KJ427797.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3593	5641
abricate-card@@@card~~~OXA-392~~~AY139600.1:167-998~~~cephalosporin;penicillin_beta-lactam	2064	2672	3503	5494
abricate-card@@@card~~~OXA-395~~~NG_049684.1:0-789~~~penicillin_beta-lactam	2322	3011	3984	6347
abricate-card@@@card~~~OXA-396~~~NG_049685.1:0-789~~~penicillin_beta-lactam	2322	3011	4000	6348
abricate-card@@@card~~~OXA-397~~~KM087865.1:0-843~~~carbapenem;penicillin_beta-lactam	1643	2135	2793	4120
abricate-card@@@card~~~OXA-398~~~KM087842.1:0-822~~~carbapenem;penicillin_beta-lactam	1802	2327	3010	4430
abricate-card@@@card~~~OXA-3~~~L07945.1:60-888~~~cephalosporin;penicillin_beta-lactam	1774	2296	2974	4381
abricate-card@@@card~~~OXA-400~~~KJ780078.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5642
abricate-card@@@card~~~OXA-401~~~KJ780076.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3362	5400
abricate-card@@@card~~~OXA-402~~~KJ780077.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3593	5643
abricate-card@@@card~~~OXA-403~~~KJ920337.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3598	5433
abricate-card@@@card~~~OXA-404~~~KJ920338.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5644
abricate-card@@@card~~~OXA-405~~~KM589641.1:0-786~~~carbapenem;penicillin_beta-lactam	2283	2950	3895	6238
abricate-card@@@card~~~OXA-406~~~KJ584915.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3453	5641
abricate-card@@@card~~~OXA-407~~~KJ584916.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5645
abricate-card@@@card~~~OXA-408~~~KJ584917.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3319	5205
abricate-card@@@card~~~OXA-409~~~KJ584918.1:0-828~~~carbapenem;penicillin_beta-lactam	1971	2553	3362	5566
abricate-card@@@card~~~OXA-410~~~DAKAKM010000001.1:279004-279829~~~penicillin_beta-lactam	1971	2553	3602	5438
abricate-card@@@card~~~OXA-411~~~KJ584920.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5363
abricate-card@@@card~~~OXA-412~~~KJ584921.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3593	5646
abricate-card@@@card~~~OXA-413~~~KJ584922.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5363
abricate-card@@@card~~~OXA-414~~~KJ584914.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3410	5647
abricate-card@@@card~~~OXA-415~~~KJ865754.1:0-828~~~cephalosporin;penicillin_beta-lactam	1729	2240	2910	4287
abricate-card@@@card~~~OXA-416~~~KP264119.1:0-798~~~carbapenem;penicillin_beta-lactam	2283	2950	3895	6176
abricate-card@@@card~~~OXA-417~~~KM220587.1:0-822~~~carbapenem;penicillin_beta-lactam	2156	2786	3649	5803
abricate-card@@@card~~~OXA-418~~~KJ997966.1:0-831~~~carbapenem;penicillin_beta-lactam	1590	2065	2705	5495
abricate-card@@@card~~~OXA-420~~~AB983359.1:2425-3268~~~carbapenem;penicillin_beta-lactam	1643	2135	2793	4120
abricate-card@@@card~~~OXA-421~~~KM401566.1:2033-1211~~~carbapenem;penicillin_beta-lactam	2156	2787	3650	5804
abricate-card@@@card~~~OXA-422~~~KM433671.1:0-822~~~carbapenem;penicillin_beta-lactam	1802	2327	3010	4430
abricate-card@@@card~~~OXA-423~~~KM433672.1:0-822~~~carbapenem;penicillin_beta-lactam	1802	2327	3010	4430
abricate-card@@@card~~~OXA-424~~~KM588352.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3602	5648
abricate-card@@@card~~~OXA-425~~~KM588353.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3594	5649
abricate-card@@@card~~~OXA-426~~~KM588354.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3591	5650
abricate-card@@@card~~~OXA-427~~~KX827604.1:0-795~~~carbapenem;penicillin_beta-lactam	2303	2979	3932	6234
abricate-card@@@card~~~OXA-429~~~KM979376.1:20-845~~~carbapenem;penicillin_beta-lactam	1971	2553	3453	5365
abricate-card@@@card~~~OXA-42~~~AJ488302.1:0-810~~~penicillin_beta-lactam	2218	2872	3801	6051
abricate-card@@@card~~~OXA-430~~~NG_049717.1:13-838~~~carbapenem;penicillin_beta-lactam	1971	2553	3598	5433
abricate-card@@@card~~~OXA-431~~~KM979378.1:14-839~~~carbapenem;penicillin_beta-lactam	1971	2553	3602	5438
abricate-card@@@card~~~OXA-432~~~KM979379.1:14-839~~~carbapenem;penicillin_beta-lactam	1971	2553	3320	5269
abricate-card@@@card~~~OXA-433~~~KM979380.1:25-850~~~carbapenem;penicillin_beta-lactam	1971	2553	3320	5269
abricate-card@@@card~~~OXA-435~~~KP144324.1:0-822~~~carbapenem;penicillin_beta-lactam	1802	2327	3010	4430
abricate-card@@@card~~~OXA-436~~~KY863418.1:140925-141723~~~carbapenem;penicillin_beta-lactam	2283	2951	3896	6177
abricate-card@@@card~~~OXA-437~~~KP410856.1:0-828~~~carbapenem;penicillin_beta-lactam	2041	2638	3429	5399
abricate-card@@@card~~~OXA-438~~~KP410734.1:0-792~~~carbapenem;penicillin_beta-lactam	2283	2950	3895	6238
abricate-card@@@card~~~OXA-439~~~KP727573.1:0-786~~~carbapenem;penicillin_beta-lactam	2283	2950	3895	6238
abricate-card@@@card~~~OXA-43~~~AJ488303.1:0-810~~~penicillin_beta-lactam	2218	2872	3801	6051
abricate-card@@@card~~~OXA-440~~~KP727574.1:0-822~~~carbapenem;penicillin_beta-lactam	1802	2327	3010	4430
abricate-card@@@card~~~OXA-441~~~JX865394.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3591	5651
abricate-card@@@card~~~OXA-442~~~KP844571.1:0-825~~~carbapenem;penicillin_beta-lactam	1971	2553	3591	5650
abricate-card@@@card~~~OXA-443~~~CM009147.1:669855-670683~~~cephalosporin;penicillin_beta-lactam	2079	2689	3497	5496
abricate-card@@@card~~~OXA-444~~~LC030179.1:0-816~~~carbapenem;penicillin_beta-lactam	2194	2847	3769	5991
abricate-card@@@card~~~OXA-446~~~KR061495.1:0-750~~~penicillin_beta-lactam	2392	3090	4187	6609
abricate-card@@@card~~~OXA-447~~~KR061496.1:0-774~~~penicillin_beta-lactam	2392	3090	4077	6467
abricate-card@@@card~~~OXA-448~~~KR061497.1:0-747~~~penicillin_beta-lactam	2465	3173	4208	6648
abricate-card@@@card~~~OXA-449~~~KR061498.1:0-750~~~penicillin_beta-lactam	2465	3173	4186	6608
